Deal ID,From Currency Code,To Currency Code,Deal Timestamp,Amount
1,YER,BRL,2020-05-11T08:20:49Z,7768
2,EUR,IDR,2020-05-19T01:42:13Z,9117
3,CNY,CNY,2021-01-30T08:47:15Z,9531
4,ALL,RUB,2020-07-23T13:26:00Z,2348
5,MXN,IDR,2020-12-19T16:16:50Z,9966
6,CNY,CNY,2020-05-07T00:55:43Z,2771
7,HRK,CNY,2020-12-29T05:13:00Z,9972
8,SYP,RUB,2020-07-14T02:07:03Z,9537
9,EUR,IDR,2020-10-10T07:37:30Z,4323
10,CLP,CNY,2021-01-03T07:52:25Z,8729
11,UAH,PHP,2020-04-21T17:40:41Z,9114
12,BGN,RUB,2020-11-04T21:25:25Z,7953
13,PLN,EUR,2020-06-05T19:01:00Z,2847
14,CNY,IRR,2020-12-21T02:40:04Z,5818
15,SEK,CNY,2020-12-14T17:48:26Z,7676
16,HRK,PHP,2020-12-01T12:22:49Z,2601
17,IDR,PHP,2020-11-29T20:06:45Z,6655
18,BRL,CNY,2021-01-13T16:38:42Z,2148
19,CNY,EUR,2020-07-31T10:06:15Z,4181
20,PHP,CNY,2020-08-02T23:58:00Z,8572
21,KPW,IDR,2020-06-02T16:54:53Z,2044
22,USD,UAH,2020-06-08T02:13:13Z,8147
23,PLN,CNY,2020-06-03T11:11:07Z,4764
24,NIO,PLN,2020-11-13T01:18:14Z,3094
25,RUB,ARS,2020-10-09T12:19:37Z,7468
26,EUR,IDR,2020-10-21T04:10:26Z,4965
27,HUF,NGN,2020-11-14T15:48:17Z,9462
28,IRR,EUR,2020-10-16T09:51:13Z,6815
29,RUB,BRL,2020-10-10T20:36:53Z,4584
30,GTQ,BRL,2021-02-21T20:20:09Z,9883
31,CZK,CNY,2021-01-02T10:21:57Z,6388
32,EUR,JPY,2020-06-11T05:23:03Z,3767
33,EUR,EUR,2020-10-13T08:03:53Z,681
34,KES,MKD,2020-10-10T11:04:15Z,8785
35,CNY,CNY,2020-05-30T21:02:23Z,2598
36,PHP,GEL,2020-11-14T11:42:00Z,6455
37,PLN,RUB,2020-08-15T12:56:32Z,7343
38,YER,CNY,2020-08-18T09:38:40Z,1640
39,PHP,AMD,2021-02-06T18:46:15Z,3433
40,ETB,ILS,2020-04-10T06:51:21Z,8333
41,COP,CNY,2021-03-03T21:26:43Z,5599
42,ZAR,CNY,2020-09-05T08:57:59Z,8311
43,EUR,IDR,2021-01-16T05:16:13Z,7083
44,EUR,KES,2020-03-29T17:35:30Z,5018
45,SYP,EUR,2020-04-15T20:29:04Z,1338
46,CNY,SEK,2020-04-04T05:19:08Z,2828
47,EUR,VND,2020-11-11T01:42:12Z,6518
48,XOF,CNY,2020-12-19T00:57:38Z,4959
49,CNY,SEK,2020-04-19T02:27:02Z,8591
50,RUB,NPR,2021-01-01T06:45:40Z,6943
51,MXN,IDR,2021-02-25T02:11:50Z,9991
52,EUR,SEK,2021-01-30T00:44:40Z,6423
53,PHP,RUB,2020-04-18T01:35:59Z,9546
54,IDR,EUR,2021-02-27T17:37:22Z,795
55,AUD,BRL,2020-07-18T15:21:28Z,1996
56,CNY,BRL,2020-05-06T03:00:49Z,1536
57,EUR,CNY,2020-08-12T15:36:21Z,3360
58,KRW,JPY,2020-06-13T22:14:16Z,2217
59,MXN,PHP,2020-10-05T20:37:39Z,9913
60,PEN,IDR,2020-11-05T10:44:35Z,3818
61,MNT,EUR,2020-06-28T17:32:35Z,3968
62,SEK,CNY,2020-12-20T16:20:53Z,2113
63,ZWL,BRL,2020-12-24T03:30:17Z,9624
64,CZK,CNY,2021-01-13T07:45:48Z,866
65,RUB,BOB,2020-08-27T01:19:56Z,3337
66,EUR,IDR,2020-07-09T21:31:48Z,4472
67,THB,PHP,2020-09-23T23:58:39Z,4330
68,TJS,PHP,2020-11-21T00:25:08Z,980
69,SEK,CNY,2020-07-27T01:17:07Z,7715
70,IDR,MXN,2020-05-21T08:39:52Z,6305
71,PHP,LTL,2020-10-26T08:06:32Z,5109
72,LYD,CNY,2021-01-08T23:59:00Z,4758
73,HNL,EUR,2020-08-09T08:54:34Z,8318
74,IDR,IDR,2020-08-28T12:59:13Z,2004
75,SEK,LYD,2020-12-31T22:40:03Z,8593
76,SEK,ZAR,2020-11-30T12:32:47Z,5353
77,CNY,PHP,2020-06-26T07:57:01Z,3828
78,PHP,HRK,2020-05-04T17:42:01Z,6224
79,USD,HRK,2020-09-26T02:14:45Z,3489
80,PLN,EGP,2020-05-30T13:52:32Z,5789
81,MGA,BRL,2020-06-24T15:38:19Z,5983
82,BRL,GBP,2020-07-30T00:39:55Z,5529
83,BRL,RUB,2020-08-10T02:06:34Z,543
84,THB,IDR,2020-06-02T04:17:47Z,8327
85,PHP,JPY,2020-11-21T16:34:31Z,6854
86,ZAR,EUR,2020-11-02T11:42:50Z,3202
87,XOF,USD,2020-10-17T18:35:04Z,3193
88,IDR,IDR,2020-04-04T06:36:36Z,9546
89,IDR,IRR,2020-10-04T20:57:09Z,9944
90,CNY,CNY,2021-02-19T17:10:09Z,8074
91,EUR,BRL,2020-03-19T20:08:09Z,6314
92,JPY,CNY,2020-11-02T20:46:39Z,2360
93,BRL,PLN,2020-10-11T10:09:31Z,6419
94,IRR,CNY,2021-02-20T00:14:06Z,1811
95,GEL,IDR,2020-05-08T23:41:38Z,9193
96,PLN,BRL,2020-07-05T07:32:32Z,8231
97,BGN,IDR,2020-07-12T21:47:27Z,2341
98,CZK,EUR,2020-11-11T22:30:32Z,5153
99,EUR,EUR,2020-10-18T09:05:34Z,4111
100,BRL,BSD,2020-08-30T16:41:47Z,8558
101,RUB,XAF,2020-11-22T02:39:33Z,9202
102,LKR,IDR,2020-07-23T06:09:44Z,1889
103,CNY,CNY,2021-02-17T00:52:01Z,1724
104,BRL,IDR,2021-01-29T03:37:36Z,6573
105,IDR,HRK,2020-04-24T14:07:13Z,2649
106,CNY,THB,2020-06-26T13:08:49Z,9512
107,CNY,PKR,2020-05-18T17:11:33Z,6823
108,MNT,ALL,2020-10-05T02:36:38Z,3010
109,MUR,MNT,2020-06-02T02:59:13Z,1686
110,CNY,KWD,2020-06-27T04:30:47Z,6357
111,JPY,CNY,2020-11-11T08:22:58Z,3026
112,EUR,CNY,2020-06-14T23:28:17Z,5824
113,IDR,CNY,2020-06-22T16:33:45Z,8547
114,RSD,CNY,2020-03-22T03:04:36Z,9331
115,COP,CAD,2020-06-09T19:02:31Z,9876
116,CNY,PHP,2020-07-19T04:06:36Z,7262
117,CNY,EUR,2020-10-31T20:53:24Z,655
118,MGA,MKD,2020-12-12T15:35:03Z,5736
119,BRL,EUR,2020-04-29T04:04:39Z,1082
120,EUR,CNY,2020-06-06T08:23:44Z,9913
121,CNY,CNY,2020-08-05T10:52:10Z,3532
122,IDR,THB,2021-02-15T20:19:25Z,2064
123,SEK,PHP,2020-11-08T21:01:21Z,5000
124,EUR,BRL,2021-02-24T04:39:35Z,9658
125,UAH,CNY,2021-03-01T02:45:21Z,6767
126,RUB,BIF,2020-04-28T19:09:14Z,3473
127,BGN,CNY,2020-07-28T01:55:20Z,846
128,CNY,IDR,2020-09-28T20:31:49Z,8502
129,EUR,CNY,2020-05-08T13:01:37Z,2062
130,CAD,COP,2021-02-21T22:15:27Z,9996
131,NZD,USD,2020-04-23T15:11:12Z,922
132,YER,EUR,2020-07-25T16:24:18Z,8748
133,BOB,SLL,2021-01-13T20:15:19Z,5319
134,EUR,CNY,2020-08-15T13:14:30Z,9880
135,DOP,CNY,2020-06-14T15:10:40Z,2080
